Date,Value,Anomaly
189507,61.50,-1.98
189607,63.69,0.21
189707,62.23,-1.25
189807,63.39,-0.09
189907,61.16,-2.32
190007,63.91,0.43
190107,63.14,-0.34
190207,62.73,-0.75
190307,61.40,-2.08
190407,62.01,-1.47
190507,61.17,-2.31
190607,62.44,-1.04
190707,62.24,-1.24
190807,63.57,0.09
190907,62.73,-0.75
191007,64.73,1.25
191107,64.38,0.90
191207,60.46,-3.02
191307,62.43,-1.05
191407,63.45,-0.03
191507,61.47,-2.01
191607,62.61,-0.87
191707,61.06,-2.42
191807,63.46,-0.02
191907,63.31,-0.17
192007,61.61,-1.87
192107,65.45,1.97
192207,62.38,-1.10
192307,62.51,-0.97
192407,61.78,-1.70
192507,65.46,1.98
192607,63.71,0.23
192707,63.48,0.00
192807,63.24,-0.24
192907,61.76,-1.72
193007,64.02,0.54
193107,64.77,1.29
193207,63.45,-0.03
193307,64.08,0.60
193407,67.02,3.54
193507,63.28,-0.20
193607,63.60,0.12
193707,62.01,-1.47
193807,64.12,0.64
193907,64.51,1.03
194007,62.46,-1.02
194107,63.02,-0.46
194207,62.82,-0.66
194307,63.85,0.37
194407,63.00,-0.48
194507,63.12,-0.36
194607,65.16,1.68
194707,62.44,-1.04
194807,62.65,-0.83
194907,62.73,-0.75
195007,62.45,-1.03
195107,62.80,-0.68
195207,63.84,0.36
195307,64.62,1.14
195407,65.16,1.68
195507,62.93,-0.55
195607,63.55,0.07
195707,62.79,-0.69
195807,62.05,-1.43
195907,63.60,0.12
196007,62.00,-1.48
196107,63.74,0.26
196207,62.56,-0.92
196307,63.50,0.02
196407,63.37,-0.11
196507,62.09,-1.39
196607,62.79,-0.69
196707,63.25,-0.23
196807,62.86,-0.62
196907,62.12,-1.36
197007,62.64,-0.84
197107,62.67,-0.81
197207,63.68,0.20
197307,62.59,-0.89
197407,64.31,0.83
197507,61.78,-1.70
197607,64.45,0.97
197707,64.27,0.79
197807,61.38,-2.10
197907,60.44,-3.04
198007,63.26,-0.22
198107,64.92,1.44
198207,61.69,-1.79
198307,62.33,-1.15
198407,62.89,-0.59
198507,63.46,-0.02
198607,65.57,2.09
198707,65.02,1.54
198807,64.59,1.11
198907,63.70,0.22
199007,65.19,1.71
199107,64.49,1.01
199207,64.57,1.09
199307,61.71,-1.77
199407,64.17,0.69
199507,63.32,-0.16
199607,63.52,0.04
199707,63.05,-0.43
199807,64.43,0.95
199907,64.77,1.29
200007,66.25,2.77
200107,64.11,0.63
200207,65.22,1.74
200307,64.03,0.55
200407,64.12,0.64
200507,64.58,1.10
200607,66.81,3.33
200707,64.70,1.22
200807,63.73,0.25
200907,64.16,0.68
201007,63.44,-0.04
201107,63.68,0.20
201207,68.14,4.66
201307,63.70,0.22
201407,63.51,0.03
201507,64.77,1.29
201607,66.15,2.67
201707,66.24,2.76
201807,65.21,1.73
